year,product,export_revenue_billion_dzd,source_note
2022,Crude oil,2178,Sonatrach Annual Report 2023
2022,NGL condensate,320,Sonatrach Annual Report 2023
2022,Natural gas,2702,Sonatrach Annual Report 2023
2022,LPG,597,Sonatrach Annual Report 2023
2022,LNG,1086,Sonatrach Annual Report 2023
2022,Refined products,1536,Sonatrach Annual Report 2023
2022,Petrochemical products,3,Sonatrach Annual Report 2023
2023,Crude oil,1652,Sonatrach Annual Report 2024 export table
2023,NGL condensate,287,Sonatrach Annual Report 2024 export table
2023,Natural gas,2182,Sonatrach Annual Report 2024 export table
2023,LPG,453,Sonatrach Annual Report 2024 export table
2023,LNG,1027,Sonatrach Annual Report 2024 export table
2023,Refined products,1155,Sonatrach Annual Report 2024 export table
2023,Petrochemical products,3,Sonatrach Annual Report 2024 export table
